Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
C17orf78	ENSG00000278505).GENE.M1.001	17	37376092	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0886371	-0.259657	0.0823829	0.309715	0.000137352	0.999863	14989	#N/A	#N/A
BGLAP	ENSG00000242252).GENE.M1.singleton	1	156242231	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.423337	-0.393747	1.24042	0.309881	6.08E-06	0.999994	14990	#N/A	#N/A
TRAFD1	ENSG00000135148).GENE.M3.0001	12	112130522	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0862859	-0.0802717	0.252843	0.30993	0.000144645	0.999855	14991	#N/A	#N/A
ST8SIA1	ENSG00000111728).GENE.M3.singleton	12	22201551	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.159045	-0.466121	0.148032	0.310045	4.25E-05	0.999957	14992	#N/A	#N/A
OXSM	ENSG00000151093).GENE.M1.001	3	25791020	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0659	-0.19314	0.0613404	0.310058	0.000247963	0.999752	14993	#N/A	#N/A
PPP1R35	ENSG00000160813).GENE.M1.001	7	100435359	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0636061	-0.186431	0.0592187	0.310112	0.000266196	0.999734	14994	#N/A	#N/A
RETSAT	ENSG00000042445).GENE.M3.001	2	85343241	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0298598	-0.0875222	0.0278026	0.310132	0.00122158	0.998777	14995	#N/A	#N/A
RNH1	ENSG00000023191).GENE.M3.0001	11	494690	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.107981	-0.316506	0.100543	0.310136	9.24E-05	0.999908	14996	#N/A	#N/A
ENHO	ENSG00000168913).GENE.M1.singleton	9	34521464	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.384136	-1.12604	0.357764	0.310193	7.29E-06	0.999993	14997	#N/A	#N/A
LAMB2	ENSG00000172037).GENE.M3.001	3	49121225	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0185448	-0.0543664	0.0172767	0.310262	0.00314695	0.996843	14998	#N/A	#N/A
NHS	ENSG00000188158).GENE.M1.0001	23	17375757	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.161185	-0.472572	0.150202	0.310322	3.16E-05	1.30767	14999	#N/A	#N/A
NUP62CL	ENSG00000198088).GENE.M3.01	23	107147784	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0360908	-0.105818	0.0336364	0.310355	0.000640572	1.28797	15000	#N/A	#N/A
ZCCHC4	ENSG00000168228).GENE.M1.1	4	25312809	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0173513	-0.0161731	0.0508758	0.310381	0.00359061	0.997755	15001	#N/A	#N/A
USP47	ENSG00000170242).GENE.M1.singleton	11	11842185	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.163776	-0.15266	0.480211	0.310389	4.01E-05	0.99996	15002	#N/A	#N/A
TMEM44	ENSG00000145014).GENE.M1.singleton	3	194588528	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.177721	-0.52111	0.165668	0.310402	3.40E-05	0.999966	15003	#N/A	#N/A
C1R	ENSG00000159403).GENE.M3.0001	12	7080531	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.271403	-0.795828	0.253021	0.310425	1.46E-05	0.999985	15004	#N/A	#N/A
FAM229B	ENSG00000203778).GENE.M3.01	6	112099283	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.159218	-0.466878	0.148441	0.310435	4.25E-05	0.999957	15006	#N/A	#N/A
ZNF318	ENSG00000171467).GENE.M3.001	6	43337157	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0232443	-0.068161	0.0216725	0.310452	0.00199951	0.999215	15007	#N/A	#N/A
KLHL1	ENSG00000150361).GENE.M1.001	13	69701701	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0869015	-0.0810269	0.25483	0.310457	0.000142214	0.999858	15008	#N/A	#N/A
PVALB	ENSG00000100362).GENE.M1.singleton	22	36800889	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.383611	-1.12491	0.35769	0.310464	7.29E-06	0.999993	15009	#N/A	#N/A
CIPC	ENSG00000198894).GENE.M1.singleton	14	77105708	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.283336	-0.264215	0.830886	0.310485	1.34E-05	0.999987	15010	#N/A	#N/A
ANAPC1	ENSG00000153107).GENE.M1.singleton	2	111769290	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.132273	-0.123369	0.387916	0.310527	6.20E-05	0.999938	15011	#N/A	#N/A
PTPN21	ENSG00000070778).GENE.M3.01	14	88468136	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0183805	-0.0171493	0.0539104	0.310611	0.00319435	0.997559	15012	#N/A	#N/A
ICE2	ENSG00000128915).GENE.M3.singleton	15	60423633	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0830656	-0.243634	0.0775031	0.310616	0.000155585	0.999844	15013	#N/A	#N/A
CFAP69	ENSG00000105792).GENE.M1.001	7	90245424	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0479313	-0.0447337	0.140596	0.310679	0.000465539	1.00476	15014	#N/A	#N/A
MPHOSPH9	ENSG00000051825).GENE.M3.singleton	12	123156806	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.134247	-0.125291	0.393786	0.310679	5.96E-05	0.99994	15015	#N/A	#N/A
CISD2	ENSG00000145354).GENE.M3.001	4	102869084	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.087251	-0.0814495	0.255952	0.310734	0.000140999	0.999859	15016	#N/A	#N/A
ZNF99	ENSG00000213973).GENE.M1.01	19	22756204	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0192294	-0.0179634	0.0564221	0.310898	0.00305214	1.00173	15018	#N/A	#N/A
RP11-724O16.1	ENSG00000251569).GENE.M3.0001	2	169479553	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.047094	-0.13819	0.044002	0.310943	0.000488634	0.999511	15019	#N/A	#N/A
NTAN1	ENSG00000157045).GENE.M3.001	16	15038030	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0393926	-0.0368106	0.115596	0.310971	0.000692839	0.999307	15020	#N/A	#N/A
RARS	ENSG00000113643).GENE.M1.singleton	5	168486498	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.158889	-0.46628	0.148501	0.311012	4.25E-05	0.999957	15021	#N/A	#N/A
SIGLEC7	ENSG00000168995).GENE.M1.singleton	19	51142369	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.30432	-0.284446	0.893086	0.311031	1.22E-05	0.999988	15022	#N/A	#N/A
CUTC	ENSG00000119929).GENE.M3.0001	10	99732348	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0761686	-0.223571	0.0712333	0.311159	0.000184757	0.999815	15023	#N/A	#N/A
MAPKBP1	ENSG00000137802).GENE.M3.0001	15	41775275	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0409822	-0.0383409	0.120305	0.311245	0.000638141	0.999361	15024	#N/A	#N/A
KLHL29	ENSG00000119771).GENE.M1.0001	2	23562196	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.159426	-0.46803	0.149178	0.311287	4.25E-05	0.999957	15025	#N/A	#N/A
RCSD1	ENSG00000198771).GENE.M3.singleton	1	167630423	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.159535	-0.468361	0.14929	0.311303	4.25E-05	0.999957	15026	#N/A	#N/A
MAPKAPK3	ENSG00000114738).GENE.M1.001	3	50617565	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0644831	-0.189317	0.0603505	0.311335	0.000257687	0.999742	15027	#N/A	#N/A
CGRRF1	ENSG00000100532).GENE.M1.001	14	54509959	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.104238	-0.0975593	0.306035	0.31134	9.85E-05	0.999902	15028	#N/A	#N/A
ZDHHC3	ENSG00000163812).GENE.M1.01	3	44926688	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0672422	-0.0629387	0.197423	0.311357	0.000237024	0.999763	15029	#N/A	#N/A
SMIM13	ENSG00000224531).GENE.M1.0001	6	11094313	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.332101	-0.975182	0.310981	0.311459	9.72E-06	0.99999	15030	#N/A	#N/A
FOXC2	ENSG00000176692).GENE.M1.0001	16	86567335	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.242361	-0.226992	0.711713	0.311505	1.82E-05	0.999982	15031	#N/A	#N/A
BORCS8	ENSG00000254901).GENE.M1.0001	19	19177369	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.209753	-0.616054	0.196548	0.311618	2.55E-05	0.999974	15033	#N/A	#N/A
NAP1L2	ENSG00000186462).GENE.M1.0001	23	73213109	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.183804	-0.539905	0.172298	0.311707	2.19E-05	1.44443	15034	#N/A	#N/A
FAM46D	ENSG00000174016).GENE.M3.001	23	80442539	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0889595	-0.261313	0.0833941	0.311717	0.000100887	1.33728	15035	#N/A	#N/A
EZR	ENSG00000092820).GENE.M1.0001	6	158766913	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0978829	-0.287534	0.0917679	0.311739	0.000111827	0.999888	15036	#N/A	#N/A
SIM2	ENSG00000159263).GENE.M3.singleton	21	36699746	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.105449	-0.0988708	0.309768	0.311762	9.60E-05	0.999904	15037	#N/A	#N/A
PCBD2	ENSG00000132570).GENE.M1.singleton	5	134905139	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.419671	-0.393546	1.23289	0.311794	6.08E-06	0.999994	15038	#N/A	#N/A
HMGN2	ENSG00000198830).GENE.M1.singleton	1	26472612	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.298093	-0.875821	0.279635	0.311877	1.22E-05	0.999988	15039	#N/A	#N/A
ABHD3	ENSG00000158201).GENE.M3.0001	18	21651590	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0720837	-0.211793	0.0676254	0.311895	0.00020299	1.01178	15040	#N/A	#N/A
MBOAT2	ENSG00000143797).GENE.M1.001	2	8858678	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0915087	-0.0858599	0.268877	0.311924	0.000128844	0.999871	15041	#N/A	#N/A
CCDC40	ENSG00000141519).GENE.M1.0001	17	80036662	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0666581	-0.0625483	0.195865	0.311943	0.000238239	1.00997	15042	#N/A	#N/A
CENPO	ENSG00000138092).GENE.M1.singleton	2	24793473	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.196366	-0.184297	0.57703	0.311991	2.80E-05	0.999972	15043	#N/A	#N/A
NTNG2	ENSG00000196358).GENE.M3.singleton	9	132166831	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.135277	-0.127033	0.397588	0.312121	5.83E-05	0.999942	15044	#N/A	#N/A
RSPH14	ENSG00000100218).GENE.M3.singleton	22	23059461	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.214929	-0.631702	0.201845	0.312138	2.31E-05	0.999977	15045	#N/A	#N/A
AQP11	ENSG00000178301).GENE.M3.singleton	11	77589992	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.17407	-0.163492	0.511631	0.312164	3.52E-05	0.999965	15046	#N/A	#N/A
GID8	ENSG00000101193).GENE.M3.singleton	20	62941502	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.156205	-0.459125	0.146715	0.312169	4.38E-05	0.999956	15047	#N/A	#N/A
FBXO17	ENSG00000269190).GENE.M1.singleton	19	38942607	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.256569	-0.754195	0.241058	0.312242	1.70E-05	0.999983	15048	#N/A	#N/A
CLPP	ENSG00000125656).GENE.M1.singleton	19	6361574	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.289417	-0.271967	0.850801	0.312283	1.34E-05	0.999987	15049	#N/A	#N/A
CIDEA	ENSG00000176194).GENE.M1.001	18	12254383	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.10095	-0.0948715	0.296771	0.312304	0.000104534	0.999895	15050	#N/A	#N/A
MANF	ENSG00000145050).GENE.M1.01	3	51385333	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0373457	-0.109797	0.0351055	0.31236	0.000756045	1.01211	15051	#N/A	#N/A
CCDC74B	ENSG00000152076).GENE.M1.0001	2	130139554	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0822357	-0.0773037	0.241775	0.312363	0.000159231	0.999841	15052	#N/A	#N/A
SRPK1	ENSG00000096063).GENE.M1.singleton	6	35835303	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.158478	-0.465937	0.148981	0.312374	4.25E-05	0.999957	15053	#N/A	#N/A
ZNF717	ENSG00000227124).GENE.M1.0001	3	75730612	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0619001	-0.0581927	0.181993	0.312383	0.000278351	0.999722	15054	#N/A	#N/A
CEP295	ENSG00000166004).GENE.M1.0001	11	93666707	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0448383	-0.0421655	0.131842	0.312454	0.000531177	0.999469	15055	#N/A	#N/A
C12orf65	ENSG00000130921).GENE.M3.singleton	12	123253674	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.180144	-0.169472	0.529761	0.312544	3.28E-05	0.999967	15056	#N/A	#N/A
ADGRA3	ENSG00000152990).GENE.M3.0001	4	22387704	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0373783	-0.109926	0.0351696	0.312583	0.000763338	0.999236	15057	#N/A	#N/A
GDI1	ENSG00000203879).GENE.M3.0001	23	154437254	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.116934	-0.343898	0.11003	0.312594	6.08E-05	1.27996	15058	#N/A	#N/A
SPATA17	ENSG00000162814).GENE.M1.singleton	1	217631378	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.215937	-0.635117	0.203243	0.31266	2.31E-05	0.999977	15059	#N/A	#N/A
TIE1	ENSG00000066056).GENE.M1.singleton	1	43301071	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.135815	-0.127916	0.399545	0.312814	5.83E-05	0.999942	15060	#N/A	#N/A
PDHX	ENSG00000110435).GENE.M3.singleton	11	34916371	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0986575	-0.0929717	0.290287	0.312946	0.000109396	0.999891	15061	#N/A	#N/A
SEC11A	ENSG00000140612).GENE.M3.singleton	15	84669942	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.147855	-0.139346	0.435055	0.312967	4.86E-05	0.999951	15062	#N/A	#N/A
APOBEC3B	ENSG00000179750).GENE.M1.singleton	22	38982453	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.194887	-0.183759	0.573533	0.313079	2.55E-05	1.09522	15063	#N/A	#N/A
PDE10A	ENSG00000112541).GENE.M1.0001	6	165333024	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.101534	-0.0957706	0.298838	0.313163	0.000103318	0.999897	15064	#N/A	#N/A
ELMO1	ENSG00000155849).GENE.M1.0001	7	36855550	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.133586	-0.126024	0.393196	0.313202	5.96E-05	0.99994	15065	#N/A	#N/A
FAM86B2	ENSG00000145002).GENE.M1.singleton	8	12425888	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.270016	-0.794783	0.254751	0.313219	1.46E-05	0.999985	15066	#N/A	#N/A
ANKRD37	ENSG00000186352).GENE.M1.001	4	185396923	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.136292	-0.128712	0.401295	0.313448	5.71E-05	0.999943	15067	#N/A	#N/A
FOSB	ENSG00000125740).GENE.M3.01	19	45468586	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0467595	-0.0441626	0.137682	0.313467	0.000510513	0.999489	15068	#N/A	#N/A
TIMM10B	ENSG00000132286).GENE.M1.001	11	6481516	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.147818	-0.139626	0.435261	0.313497	4.86E-05	0.999951	15069	#N/A	#N/A
ARIH1	ENSG00000166233).GENE.M1.singleton	15	72474639	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.381284	-1.1228	0.360232	0.313548	7.29E-06	0.999993	15070	#N/A	#N/A
C6orf106	ENSG00000196821).GENE.M3.001	6	34590564	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0935306	-0.275442	0.0883813	0.313588	0.000121551	0.999878	15071	#N/A	#N/A
BASP1	ENSG00000176788).GENE.M3.singleton	5	17275216	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.241397	-0.710934	0.228139	0.31362	1.82E-05	0.999982	15072	#N/A	#N/A
MAST4	ENSG00000069020).GENE.M3.0001	5	66596655	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0317825	-0.0300422	0.0936073	0.313661	0.00105384	0.998945	15073	#N/A	#N/A
ITGB7	ENSG00000139626).GENE.M3.singleton	12	53191555	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.110077	-0.104054	0.324207	0.313673	8.75E-05	0.999912	15074	#N/A	#N/A
TBX5	ENSG00000089225).GENE.M1.singleton	12	114355531	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.31129	-0.294262	0.916842	0.313675	1.09E-05	0.999989	15075	#N/A	#N/A
EPHB1	ENSG00000154928).GENE.M1.singleton	3	134795631	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.186775	-0.550143	0.176594	0.313724	3.04E-05	0.99997	15076	#N/A	#N/A
PSG11	ENSG00000243130).GENE.M1.0001	19	43009997	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.096191	-0.0909554	0.283337	0.313744	0.000115473	1.04199	15077	#N/A	#N/A
AKAP2	ENSG00000241978).GENE.M1.001	9	110048699	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0842316	-0.248112	0.0796491	0.31375	0.000149507	0.99985	15078	#N/A	#N/A
ARG1	ENSG00000118520).GENE.M1.0001	6	131573282	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.116863	-0.110539	0.344265	0.313821	7.78E-05	0.999922	15080	#N/A	#N/A
HDC	ENSG00000140287).GENE.M3.001	15	50242259	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0338888	-0.032058	0.0998357	0.313845	0.000923785	0.999075	15081	#N/A	#N/A
MANEAL	ENSG00000185090).GENE.M3.0001	1	37794182	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0630306	-0.0596326	0.185694	0.313872	0.000269843	0.99973	15082	#N/A	#N/A
TDRD9	ENSG00000156414).GENE.M1.001	14	103928509	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0385063	-0.113455	0.0364421	0.313948	0.000714718	0.999285	15083	#N/A	#N/A
GFRA1	ENSG00000151892).GENE.M1.singleton	10	116064397	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.219964	-0.648193	0.208266	0.314054	2.19E-05	0.999978	15084	#N/A	#N/A
GZMA	ENSG00000145649).GENE.M3.singleton	5	55102682	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.136258	-0.401532	0.129016	0.314063	5.71E-05	0.999943	15085	#N/A	#N/A
RAMP2	ENSG00000131477).GENE.M1.0001	17	42761261	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.153497	-0.452337	0.145343	0.314069	4.50E-05	0.999955	15086	#N/A	#N/A
CTDSP1	ENSG00000144579).GENE.M1.001	2	218398412	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0863326	-0.0817479	0.254413	0.314073	0.00014343	0.999857	15087	#N/A	#N/A
RPL36AL	ENSG00000165502).GENE.M1.01	14	49618783	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0449551	-0.132502	0.0425923	0.314209	0.000521452	1.00414	15088	#N/A	#N/A
PODXL	ENSG00000128567).GENE.M3.1	7	131504310	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0280433	-0.0826635	0.0265768	0.314274	0.00134921	0.998649	15089	#N/A	#N/A
KRBOX1	ENSG00000240747).GENE.M1.0001	3	42938895	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.159958	-0.151626	0.471541	0.314326	4.13E-05	0.999959	15090	#N/A	#N/A
RAB28	ENSG00000157869).GENE.M1.singleton	4	13368557	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.219816	-0.648013	0.20838	0.314341	2.19E-05	0.999978	15091	#N/A	#N/A
PIM1	ENSG00000137193).GENE.M1.0001	6	37170575	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.352963	-0.334612	1.04054	0.314349	8.51E-06	0.999991	15092	#N/A	#N/A
HIVEP3	ENSG00000127124).GENE.M1.singleton	1	41510450	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.130068	-0.123307	0.383443	0.314354	6.32E-05	0.999937	15093	#N/A	#N/A
CAGE1	ENSG00000164304).GENE.M3.001	6	7326857	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0447781	-0.132035	0.042479	0.31451	0.000528746	0.999471	15094	#N/A	#N/A
NRP1	ENSG00000099250).GENE.M3.singleton	10	33180075	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0761345	-0.0722389	0.224508	0.314554	0.000182326	0.999818	15095	#N/A	#N/A
C16orf46	ENSG00000166455).GENE.M3.001	16	81054070	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0541515	-0.159696	0.051393	0.314611	0.000361006	0.999639	15096	#N/A	#N/A
